Timestamp,Supplier,Model,Price_KD,Source_Chat,Raw_Snippet,Notes
Today 2:19 AM,Mobile Telecom Industry,Samsung Galaxy A36 8/128GB,,Mobile Telecom Industry,Want to sell Samsung A36 8/128 — 216$ HOTT PRICE,Simfree; blue/green; ready in Dafza; USD 216
Today 12:19 AM,Bombay Digital DXB,Samsung S25 Edge 256GB,,Bombay Digital DXB,S25 Edge 256GB — 1850 dh,WTS MGT; 2 pcs only; English stock; AED 1850
Today 12:28 AM,Mohit- Teleflex DXB,ZTE Blade A75 5G 4/128GB,,Teleflex Telecom Fzco,SELLING READY STOCK ... Blade A75 5g 4/128gb,Ready-stock list; call for best price; No price posted
Today 1:06 AM,Joy Xie HK,POCO C71 4/64GB,,Joy Xie HK,Poco C71 4+64 EU $92,EX/HK; EU specification; USD 92
Today 1:06 AM,Joy Xie HK,POCO C71 4/128GB,,Joy Xie HK,Poco C71 4+128 EU $105,EX/HK; EU specification; USD 105
Today 12:14 AM,Roy HK,Redmi 15C 5G NFC 4+128GB,,Roy HK,Redmi 15C 5G NFC 4+128 EU $148,"EX/HK; Black 200, Green 200, Purple 200; USD 148"
Today 1:40 AM,Roy HK,POCO C71 4+128GB,,Roy HK,Poco C71 4+128 EU $102,"EX/HK; Black 1000, Blue 1000, Gold 1000; USD 102"
2026-09-14 01:53,Sahil Bora DXB,Samsung A175 4/128GB,,Sahil Bora DXB,Samsung A175 4/128GB,WTS Ready Stock In FZE; no price posted; UAE Arabic/Indian specs; ready stock
2026-09-14 01:53,Sahil Bora DXB,Samsung A07 4G 4/64GB,,Sahil Bora DXB,Samsung A07 4G (4/64),WTS Ready Stock In FZE; no price posted; UAE Arabic/Indian specs; ready stock
2026-09-14 01:53,Sahil Bora DXB,Samsung A36 5G A366E/DS 8/128GB,,Sahil Bora DXB,Samsung A36 5G (A366E/DS) (8/128),WTS Ready Stock In FZE; no price posted; UAE Arabic/Indian specs; ready stock
2026-09-14 01:53,Sahil Bora DXB,Samsung A36 5G A366E/DS 8/256GB,,Sahil Bora DXB,Samsung A36 5G (A366E/DS) (8/256),WTS Ready Stock In FZE; no price posted; UAE Arabic/Indian specs; ready stock
2026-09-14 01:53,Sahil Bora DXB,Samsung M17 5G 4/128GB,,Sahil Bora DXB,Samsung M17 5G (4/128),WTS Ready Stock In FZE; no price posted; UAE Arabic/Indian specs; ready stock
2026-09-14 01:53,Sahil Bora DXB,Samsung M17e 5G 4/128GB,,Sahil Bora DXB,Samsung M17e 5G (4/128),WTS Ready Stock In FZE; no price posted; UAE Arabic/Indian specs; ready stock
2026-09-14 01:53,Sahil Bora DXB,Samsung S25 FE S731B/DS 8/128GB,,Sahil Bora DXB,Samsung S25 FE S731B/DS (8/128),WTS Ready Stock In FZE; no price posted; UAE Arabic/Indian specs; ready stock
2026-09-14 01:53,Sahil Bora DXB,Samsung Tab A11+ 5G X236B 6/128GB,,Sahil Bora DXB,Samsung Tab A11+ 5G X236B (6/128),WTS Ready Stock In FZE; no price posted; UAE Arabic/Indian specs; ready stock
2026-09-14 01:53,Sahil Bora DXB,Google Pixel 11 512GB,,Sahil Bora DXB,Google Pixel 11 512GB 33 pcs,WTS Ready Stock In FZE; no price posted; UAE Arabic/Indian specs; ready stock; 33 pcs
2026-09-14 01:55,WTS KANABAR 🇮🇳 SPEC,Samsung A07 5G 4/128GB,,WTS KANABAR 🇮🇳 SPEC,Wts Samsung A07 5g 4/128 5000unit,"No price posted; on booking; quantity 5,000 units"
2026-09-14 01:55,WTS KANABAR 🇮🇳 SPEC,Samsung A07 5G 6/128GB,,WTS KANABAR 🇮🇳 SPEC,A07 5G 6/128 500unit,No price posted; on booking; quantity 500 units
2026-09-14 02:01,KHALID ZAID SWIFT TELECOM,Samsung A075 4/64GB,,KHALID ZAID SWIFT TELECOM,-A075 4 64@385,Price marker @385; currency not stated; quantities/colors: Black 460; Violet 100; Green 100
2026-09-14 02:01,KHALID ZAID SWIFT TELECOM,Samsung A075 4/128GB,,KHALID ZAID SWIFT TELECOM,-A075 4 128@435,Price marker @435; currency not stated; quantities/colors: Black 540; Violet 180; Green 180
2026-09-14 02:01,KHALID ZAID SWIFT TELECOM,Samsung A165 4/128GB,,KHALID ZAID SWIFT TELECOM,-A165 4 128@495,Price marker @495; currency not stated; quantities/colors: Black 300; Gray 200
2026-09-14 02:01,KHALID ZAID SWIFT TELECOM,Samsung A175 4/128GB,,KHALID ZAID SWIFT TELECOM,-A175 4 128@535,"Price marker @535; currency not stated; quantities/colors: Black 2,000"
2026-09-14 02:01,KHALID ZAID SWIFT TELECOM,Samsung A175 6/128GB,,KHALID ZAID SWIFT TELECOM,-A175 6 128@615,Price marker @615; currency not stated; quantities/colors: Black 190; Gray 65; Blue 85
2026-09-14 01:52,Taha - Century Promise Communications FZCO,Blackview tablets and mobile phones,,Taha - Century Promise Communications FZCO,We will start bringing blackview tablet and mobile phones. Extremely cheap prices,New supplier intro; tablet/mobile phone range; no model or currency/price posted
2026-09-14 01:50,WTS MGT,Samsung S25 FE 8/128GB,,WTS MGT,S25 fe 8/128,WTS; no price posted; ready local
2026-09-14 01:50,WTS MGT,Samsung S25 FE 8/256GB,,WTS MGT,S25 fe 8/256,WTS; no price posted; ready local
2026-09-14 01:50,WTS MGT,Samsung S25 8/256GB,,WTS MGT,S25 8/256 🇦🇪,WTS; UAE spec; no price posted; ready local
2026-09-14 01:50,WTS MGT,Samsung S25 12/256GB mix,,WTS MGT,S25 12/256 mix,WTS; mixed; no price posted; ready local
2026-09-14 01:50,WTS MGT,Samsung M07 4/64GB,,WTS MGT,M07 4/64-30,"WTS; price marker 30, currency not stated; edited 1:50 AM"
2026-09-14 01:47,👍🇦🇪Burhan Baraka Fzco🇦🇪👍,Samsung S25 S931 12+ B/DS 256GB,,👍🇦🇪Burhan Baraka Fzco🇦🇪👍,Samsung S25 S931 12+ B/DS 256gb @$550,USD 550; Singapore/Latin specs; ready stock DAFZA Dubai; Navy 50 pcs
2026-09-14 01:47,👍🇦🇪Burhan Baraka Fzco🇦🇪👍,Samsung S25 Ultra S938 12+ B/DS 512GB,,👍🇦🇪Burhan Baraka Fzco🇦🇪👍,Samsung S25 Ultra S938 12+ B/DS 512gb @$790,"USD 790; Singapore/Latin specs; ready stock DAFZA Dubai; Black 140, Grey 140, White 80 pcs"
2026-09-14 01:47,👍🇦🇪Burhan Baraka Fzco🇦🇪👍,Samsung S26 S942 12+ B/DS 512GB,,👍🇦🇪Burhan Baraka Fzco🇦🇪👍,Samsung S26 S942 12+ B/DS 512gb @$770,"USD 770; Singapore/Latin specs; ready stock DAFZA Dubai; Black 60, Violet 60, Blue 20, White 20 pcs"
2026-09-14 01:47,👍🇦🇪Burhan Baraka Fzco🇦🇪👍,Samsung S26 Ultra S948 12+ B/DS 512GB,,👍🇦🇪Burhan Baraka Fzco🇦🇪👍,Samsung S26 Ultra S948 12+ B/DS 512gb @$980,USD 980; Singapore/Latin specs; ready stock DAFZA Dubai; Blue 100 pcs
Today 2:05 AM,ROYAL LINE ELECTRONICS FZCO,A075 4/128GB,,ROYAL LINE ELECTRONICS FZCO,A075 / 4/128GB; Ready Stock,no price posted; ready stock
Today 2:05 AM,ROYAL LINE ELECTRONICS FZCO,A165 4/128GB,,ROYAL LINE ELECTRONICS FZCO,A165 / 4/128GB; Ready Stock,no price posted; ready stock
Today 2:05 AM,ROYAL LINE ELECTRONICS FZCO,A175 4/128GB,,ROYAL LINE ELECTRONICS FZCO,A175 / 4/128GB; Ready Stock,no price posted; ready stock
Today 2:05 AM,ROYAL LINE ELECTRONICS FZCO,A175 6/128GB,,ROYAL LINE ELECTRONICS FZCO,A175 / 6/128GB; Ready Stock,no price posted; ready stock
Today 2:17 AM,ROYAL LINE ELECTRONICS FZCO,A17 6/128,,ROYAL LINE ELECTRONICS FZCO,A17 6/128 SOLD ALL THANKS,no price posted; sold all
Today 1:52 AM,Taha - Century Promise Communications FZCO,Blackview mobile phones/tablets (unspecified),,Taha - Century Promise Communications FZCO,We will start bringing blackview tablet and mobile phones. Extremely cheap prices,no price posted; extremely cheap prices; tablet mention excluded from model detail
Today 1:13 AM,WTS MGT,Samsung S25 FE 8/128,,WTS MGT,WTS; S25 fe 8/128; Ready local,no price posted; ready local
Today 1:13 AM,WTS MGT,Samsung S25 FE 8/256,,WTS MGT,S25 fe 8/256; Ready local,no price posted; ready local
Today 1:13 AM,WTS MGT,Samsung S25 FE 8/256 UAE,,WTS MGT,S25 fe 8/256 UAE; Ready local,no price posted; UAE variant; ready local
Today 1:13 AM,WTS MGT,Samsung S25 12/256,,WTS MGT,S25 12/256 mix; Ready local,no price posted; mixed stock; ready local
Today 1:50 AM,WTS MGT,M07 4/64,,WTS MGT,M07 4/64-30,no price posted; trailing 30 marker
Today 1:47 AM,Burhan Baraka Fzco,Samsung S25 S931 12+ B/DS 256GB,,Burhan Baraka Fzco,Samsung S25 S931 12+ B/DS 256gb @ $550,USD price; Latin specs; ready stock in DAFZA Dubai; $550
Today 1:47 AM,Burhan Baraka Fzco,Samsung S25 Ultra S938 12+ B/DS 512GB,,Burhan Baraka Fzco,Samsung S25 Ultra S938 12+ B/DS 512gb @ $790,USD price; Latin specs; ready stock in DAFZA Dubai; $790
Today 1:47 AM,Burhan Baraka Fzco,Samsung S26 S942 12+ B/DS 512GB,,Burhan Baraka Fzco,Samsung S26 S942 12+ B/DS 512gb @ $770,USD price; Latin specs; ready stock in DAFZA Dubai; $770
Today 1:47 AM,Burhan Baraka Fzco,Samsung S26 Ultra S948 12+ B/DS 512GB,,Burhan Baraka Fzco,Samsung S26 Ultra S948 12+ B/DS 512gb @ $980,USD price; Latin specs; ready stock in DAFZA Dubai; $980
Today 1:53 AM,Sahil Bora DXB,Samsung A07 4G 4/64,,Sahil Bora DXB,Samsung A07 4G (4/64),no price posted; Indian specs; FOB Dubai
Today 1:53 AM,Sahil Bora DXB,Samsung A36 5G A366E/DS 8/128,,Sahil Bora DXB,Samsung A36 5G (A366E/DS) (8/128),no price posted; Indian specs; FOB Dubai
Today 1:53 AM,Sahil Bora DXB,Samsung A36 5G A366E/DS 8/256,,Sahil Bora DXB,Samsung A36 5G (A366E/DS) (8/256),no price posted; Indian specs; FOB Dubai
Today 1:53 AM,Sahil Bora DXB,Samsung M17 5G 4/128,,Sahil Bora DXB,Samsung M17 5G (4/128),no price posted; Indian specs; FOB Dubai
Today 1:53 AM,Sahil Bora DXB,Samsung M17e 5G 4/128,,Sahil Bora DXB,Samsung M17e 5G (4/128),no price posted; Indian specs; FOB Dubai
Today 1:53 AM,Sahil Bora DXB,Samsung S25 FE S731B/DS 8/128,,Sahil Bora DXB,Samsung S25 FE S731B/DS (8/128),no price posted; Indian specs; FOB Dubai
Today 1:53 AM,Sahil Bora DXB,Motorola Edge 60 Fusion 12/256,,Sahil Bora DXB,Motorola Edge 60 Fusion (12/256) (In Booking),no price posted; in booking; FOB Dubai
Today 1:25 AM,CHIRAG DXB,A075 4/64 Thai,,CHIRAG DXB,A075 4/64 THAI ...,no price posted
Today 1:25 AM,CHIRAG DXB,A075 4/64 Arabic,,CHIRAG DXB,A075 4/64 ARABIC ...,no price posted
Today 1:25 AM,CHIRAG DXB,Note 14S 8/256,,CHIRAG DXB,NOTE 14S 8/256 -,no price posted
Today 1:25 AM,CHIRAG DXB,Note 15 Pro 8/256,,CHIRAG DXB,NOTE 15 PRO 8/256 -,no price posted
Yesterday 11:41 PM,Bristol fones fzco (Xiaomi Supplier Dubai free zone),Redmi Note 14 5G 8+256G India,,Bristol fones fzco (Xiaomi Supplier Dubai free zone),RedmiNote14 5G 8+256G India Crimson Art 180,currency not stated; Crimson Art; 180
Yesterday 11:41 PM,Bristol fones fzco (Xiaomi Supplier Dubai free zone),Redmi Note 14 5G 8+256G India,,Bristol fones fzco (Xiaomi Supplier Dubai free zone),RedmiNote14 5G 8+256G India White 180,currency not stated; White; 180
Yesterday 11:41 PM,Bristol fones fzco (Xiaomi Supplier Dubai free zone),Redmi Note 14S 8+256G EU,,Bristol fones fzco (Xiaomi Supplier Dubai free zone),RedmiNote14S 8+256G EU Black 195,currency not stated; Black; 195
Yesterday 11:41 PM,Bristol fones fzco (Xiaomi Supplier Dubai free zone),Redmi Note 14S 8+256G EU,,Bristol fones fzco (Xiaomi Supplier Dubai free zone),RedmiNote14S 8+256G EU Blue 195,currency not stated; Blue; 195
Yesterday 11:41 PM,Bristol fones fzco (Xiaomi Supplier Dubai free zone),Redmi Note 14S 8+256G EU,,Bristol fones fzco (Xiaomi Supplier Dubai free zone),RedmiNote14S 8+256G EU Purple 195,currency not stated; Purple; 195
Yesterday 11:41 PM,Bristol fones fzco (Xiaomi Supplier Dubai free zone),Xiaomi 14 Ultra 16+512G EN,,Bristol fones fzco (Xiaomi Supplier Dubai free zone),Xiaomi 14 Ultra 16+512G EN Black 740,currency not stated; Black; 740
Yesterday 11:41 PM,Bristol fones fzco (Xiaomi Supplier Dubai free zone),Xiaomi 14 Ultra 16+512G EN,,Bristol fones fzco (Xiaomi Supplier Dubai free zone),Xiaomi 14 Ultra 16+512G EN White 740,currency not stated; White; 740
Yesterday 11:41 PM,Bristol fones fzco (Xiaomi Supplier Dubai free zone),Xiaomi MIX Flip 12+512G EU,,Bristol fones fzco (Xiaomi Supplier Dubai free zone),Xiaomi MIX Flip 12+512G EU Black 485,currency not stated; Black; 485
Yesterday 11:41 PM,Bristol fones fzco (Xiaomi Supplier Dubai free zone),POCO F6 12+512G JD,,Bristol fones fzco (Xiaomi Supplier Dubai free zone),POCOF6 12+512G JD Titanium 255,currency not stated; Titanium; 255
Yesterday 11:41 PM,Bristol fones fzco (Xiaomi Supplier Dubai free zone),POCO X7 Pro 12+512G EU,,Bristol fones fzco (Xiaomi Supplier Dubai free zone),POCO X7pro 12+512G EU Green 318,currency not stated; Green; 318
Yesterday 11:41 PM,Bristol fones fzco (Xiaomi Supplier Dubai free zone),POCO X8 Pro Max 12+256G EU,,Bristol fones fzco (Xiaomi Supplier Dubai free zone),POCO X8pro Max 12+256G EU Orange 448,currency not stated; Orange; 448
Yesterday 11:31 PM,IQBAL-Mayco,HONOR 600 Lite 5G 8+256 EU-Thailand spec,,IQBAL-Mayco,HONOR 600 Lite 5G 8+256 EU-Thailand spec; black 250; Gold 330; Green 350; $242,USD shown as $242; color figures 250/330/350 have unclear meaning; $242; black 250; Gold 330; Green 350
Today 2:25 AM,Parth Kanabar,Samsung M17e 4/128,,WTS KANABAR 🇮🇳 SPEC,Wts Samsung M17e 4/128 500; On booking; Logix one DXB,on booking; Logix one DXB; 500
Today 2:25 AM,Parth Kanabar,Samsung M17e 6/128,,WTS KANABAR 🇮🇳 SPEC,Wts Samsung M17e 6/128 500; On booking; Logix one DXB,on booking; Logix one DXB; 500
Today 2:42 AM,Parth Kanabar,Samsung S26 12/256,,WTS KANABAR 🇮🇳 SPEC,Wts Samsung S26 12/256 50/100 Mix colour; Ready in 2days; Logix one DXB,mix colour; ready in 2 days; Logix one DXB; 50/100
Today 1:55 AM,Parth Kanabar,Samsung A07 5G 4/128,,WTS KANABAR 🇮🇳 SPEC,Wts Samsung A07 5G 4/128 500Unit; On booking,on booking; 500Unit
Today 1:55 AM,Parth Kanabar,Samsung A07 5G 6/128,,WTS KANABAR 🇮🇳 SPEC,Wts Samsung A07 5G 6/128 500Unit; On booking,on booking; 500Unit
Today 1:13 AM,MGT,Samsung S25 FE 8/128,,WTS MGT,WTS Samsung S25 FE 8/128; Ready local,ready local
Today 1:13 AM,MGT,Samsung S25 FE 8/256,,WTS MGT,WTS Samsung S25 FE 8/256; Ready local,ready local
Today 1:13 AM,MGT,Samsung S25 8/256 UAE,,WTS MGT,WTS Samsung S25 8/256 UAE; Ready local,ready local
Today 1:13 AM,MGT,Samsung S25 12/256 mix,,WTS MGT,WTS Samsung S25 12/256 mix; Ready local,ready local
Edited 1:50 AM,MGT,Samsung M07 4/64,,WTS MGT,WTS 🇦🇪 M07 4/64-30,UAE listing; 30
Today 2:34 AM,Bombay Digital DXB,Samsung A07 4/64,,WTS MGT,WTS A07 4/64 indian local 376 dh 100 pcs only,Indian local; 100 pcs only; 376 dh
Today 11:04 AM,Bombay Digital DXB,X230 128 silver,,WTS MGT,Wts 🇦🇪 X230 128 silver Tra 680 dh,silver; 680 dh
Today 1:53 AM,Sahil Bora DXB,Samsung A175 4/128 Arabic,,Sahil Bora DXB,Samsung A175 4/128 Arabic; FOB Dubai,Arabic specs; FOB Dubai
Today 1:53 AM,Sahil Bora DXB,Samsung A07 4G 4/64,,Sahil Bora DXB,Samsung A07 4G 4/64; FOB Dubai,Indian specs; FOB Dubai
Today 1:53 AM,Sahil Bora DXB,Samsung A36 5G A366E/DS 8/128,,Sahil Bora DXB,Samsung A36 5G A366E/DS 8/128; FOB Dubai,Indian specs; FOB Dubai
Today 1:53 AM,Sahil Bora DXB,Samsung A36 5G A366E/DS 8/256,,Sahil Bora DXB,Samsung A36 5G A366E/DS 8/256; FOB Dubai,Indian specs; FOB Dubai
Today 1:53 AM,Sahil Bora DXB,Samsung M17 5G 4/128,,Sahil Bora DXB,Samsung M17 5G 4/128; FOB Dubai,Indian specs; FOB Dubai
Today 1:53 AM,Sahil Bora DXB,Samsung M17e 5G 4/128,,Sahil Bora DXB,Samsung M17e 5G 4/128; FOB Dubai,Indian specs; FOB Dubai
Today 1:53 AM,Sahil Bora DXB,Samsung S25 FE S731B/DS 8/128,,Sahil Bora DXB,Samsung S25 FE S731B/DS 8/128; FOB Dubai,Indian specs; FOB Dubai
Today 1:53 AM,Sahil Bora DXB,Google Pixel 11 512GB,,Sahil Bora DXB,Google Pixel 11 512GB; FOB Dubai,33 pcs; FOB Dubai
Today 1:53 AM,Sahil Bora DXB,Motorola Edge 60 Fusion 12/256,,Sahil Bora DXB,Motorola Edge 60 Fusion 12/256; FOB Dubai,In Booking; FOB Dubai
Today 1:30 AM,Shabbir Simtronics DXB,Samsung A06 A065 4GB+64GB AFR,,Shabbir Simtronics DXB,WTS: 14TH SEP 2026 SIMTRONICS FZCO - DUBAI; Samsung A06 A065 4GB+64GB AFR,Samsung mobile phones; regional spec
Today 1:30 AM,Shabbir Simtronics DXB,Samsung A06 A065 4GB+128GB AFR,,Shabbir Simtronics DXB,WTS: 14TH SEP 2026 SIMTRONICS FZCO - DUBAI; Samsung A06 A065 4GB+128GB AFR,Samsung mobile phones; regional spec
Today 1:30 AM,Shabbir Simtronics DXB,Samsung A07 A075 4GB+64GB INDO/AFB/ARB,,Shabbir Simtronics DXB,WTS: 14TH SEP 2026 SIMTRONICS FZCO - DUBAI; Samsung A07 A075 4GB+64GB INDO/AFB/ARB,Samsung mobile phones; regional spec
Today 1:30 AM,Shabbir Simtronics DXB,Samsung A07 A075 4GB+128GB AFR,,Shabbir Simtronics DXB,WTS: 14TH SEP 2026 SIMTRONICS FZCO - DUBAI; Samsung A07 A075 4GB+128GB AFR,Samsung mobile phones; regional spec
Today 1:30 AM,Shabbir Simtronics DXB,Samsung A07s A077 4GB+64GB AFR,,Shabbir Simtronics DXB,WTS: 14TH SEP 2026 SIMTRONICS FZCO - DUBAI; Samsung A07s A077 4GB+64GB AFR,Samsung mobile phones; regional spec
Today 1:30 AM,Shabbir Simtronics DXB,Samsung A16 A165 4GB+128GB AFB,,Shabbir Simtronics DXB,WTS: 14TH SEP 2026 SIMTRONICS FZCO - DUBAI; Samsung A16 A165 4GB+128GB AFB,Samsung mobile phones; regional spec
Today 1:30 AM,Shabbir Simtronics DXB,Samsung A17 A175 4GB+128GB ARB/AFB,,Shabbir Simtronics DXB,WTS: 14TH SEP 2026 SIMTRONICS FZCO - DUBAI; Samsung A17 A175 4GB+128GB ARB/AFB,Samsung mobile phones; regional spec
Today 1:30 AM,Shabbir Simtronics DXB,Samsung A17 A175 6GB+128GB ARB,,Shabbir Simtronics DXB,WTS: 14TH SEP 2026 SIMTRONICS FZCO - DUBAI; Samsung A17 A175 6GB+128GB ARB,Samsung mobile phones; regional spec
Today 1:30 AM,Shabbir Simtronics DXB,Samsung A17 A175 8GB+128GB,,Shabbir Simtronics DXB,WTS: 14TH SEP 2026 SIMTRONICS FZCO - DUBAI; Samsung A17 A175 8GB+128GB,Samsung mobile phones; regional spec
Today 1:30 AM,Shabbir Simtronics DXB,Samsung A17 A175 8GB+256GB MLY,,Shabbir Simtronics DXB,WTS: 14TH SEP 2026 SIMTRONICS FZCO - DUBAI; Samsung A17 A175 8GB+256GB MLY,Samsung mobile phones; regional spec
Today 1:30 AM,Shabbir Simtronics DXB,Samsung A27 A276 6GB+128GB AFR/EU,,Shabbir Simtronics DXB,WTS: 14TH SEP 2026 SIMTRONICS FZCO - DUBAI; Samsung A27 A276 6GB+128GB AFR/EU,Samsung mobile phones; regional spec
Today 1:30 AM,Shabbir Simtronics DXB,Samsung A27 A276 8GB+256GB MLY/PCT/AFR,,Shabbir Simtronics DXB,WTS: 14TH SEP 2026 SIMTRONICS FZCO - DUBAI; Samsung A27 A276 8GB+256GB MLY/PCT/AFR,Samsung mobile phones; regional spec
Today 1:30 AM,Shabbir Simtronics DXB,Samsung A37 A376 8GB+256GB PCT,,Shabbir Simtronics DXB,WTS: 14TH SEP 2026 SIMTRONICS FZCO - DUBAI; Samsung A37 A376 8GB+256GB PCT,Samsung mobile phones; regional spec
Today 1:30 AM,Shabbir Simtronics DXB,Samsung A37 A376 12GB+256GB MLY,,Shabbir Simtronics DXB,WTS: 14TH SEP 2026 SIMTRONICS FZCO - DUBAI; Samsung A37 A376 12GB+256GB MLY,Samsung mobile phones; regional spec
Today 1:30 AM,Shabbir Simtronics DXB,Samsung A57 A576 8GB+256GB INDO,,Shabbir Simtronics DXB,WTS: 14TH SEP 2026 SIMTRONICS FZCO - DUBAI; Samsung A57 A576 8GB+256GB INDO,Samsung mobile phones; regional spec
Today 1:30 AM,Shabbir Simtronics DXB,Samsung A57 A576 12GB+256GB INDO,,Shabbir Simtronics DXB,WTS: 14TH SEP 2026 SIMTRONICS FZCO - DUBAI; Samsung A57 A576 12GB+256GB INDO,Samsung mobile phones; regional spec
Today 1:30 AM,Shabbir Simtronics DXB,Samsung A57 A576 12GB+512GB SG,,Shabbir Simtronics DXB,WTS: 14TH SEP 2026 SIMTRONICS FZCO - DUBAI; Samsung A57 A576 12GB+512GB SG,Samsung mobile phones; regional spec
Today 1:30 AM,Shabbir Simtronics DXB,Samsung S25 S931 12GB+256GB INDIA,,Shabbir Simtronics DXB,WTS: 14TH SEP 2026 SIMTRONICS FZCO - DUBAI; Samsung S25 S931 12GB+256GB INDIA,Samsung mobile phones; regional spec
Today 1:30 AM,Shabbir Simtronics DXB,Samsung S26 S741 8GB+256GB AFR,,Shabbir Simtronics DXB,WTS: 14TH SEP 2026 SIMTRONICS FZCO - DUBAI; Samsung S26 S741 8GB+256GB AFR,Samsung mobile phones; regional spec
Today 1:30 AM,Shabbir Simtronics DXB,Samsung S26 Ultra S948 12GB+512GB AFR,,Shabbir Simtronics DXB,WTS: 14TH SEP 2026 SIMTRONICS FZCO - DUBAI; Samsung S26 Ultra S948 12GB+512GB AFR,Samsung mobile phones; regional spec
Today 1:25 AM,CHIRAG DXB,Samsung A075 4/64 Thai,,CHIRAG DXB,WTS Samsung A075 4/64 Thai; price not posted,today WTS; price not posted
Today 1:25 AM,CHIRAG DXB,Samsung A075 4/64 Arabic,,CHIRAG DXB,WTS Samsung A075 4/64 Arabic; price not posted,today WTS; price not posted
Today 1:25 AM,CHIRAG DXB,Redmi Note 14S 8/256,,CHIRAG DXB,WTS Redmi Note 14S 8/256; price not posted,today WTS; price not posted
Today 1:25 AM,CHIRAG DXB,Redmi Note 15 Pro 8/256,,CHIRAG DXB,WTS Redmi Note 15 Pro 8/256; price not posted,today WTS; price not posted
Today 12:28 AM,Mohit- Teleflex DXB,Samsung A066 5G 4/64GB,,Mohit- Teleflex DXB,SELLING READY STOCK; Samsung A066 5G 4/64GB,ready stock
Today 12:28 AM,Mohit- Teleflex DXB,Samsung A066 5G 4/128GB,,Mohit- Teleflex DXB,SELLING READY STOCK; Samsung A066 5G 4/128GB,ready stock
Today 12:28 AM,Mohit- Teleflex DXB,Samsung A066 5G 6/128GB,,Mohit- Teleflex DXB,SELLING READY STOCK; Samsung A066 5G 6/128GB,ready stock
Today 12:28 AM,Mohit- Teleflex DXB,Samsung A075 4/64GB,,Mohit- Teleflex DXB,SELLING READY STOCK; Samsung A075 4/64GB,ready stock
Today 12:28 AM,Mohit- Teleflex DXB,Samsung A076 5G 4/64GB,,Mohit- Teleflex DXB,SELLING READY STOCK; Samsung A076 5G 4/64GB,ready stock
Today 12:28 AM,Mohit- Teleflex DXB,Samsung A075 4/128GB,,Mohit- Teleflex DXB,SELLING READY STOCK; Samsung A075 4/128GB,ready stock
Today 12:28 AM,Mohit- Teleflex DXB,Samsung A175 4/128GB,,Mohit- Teleflex DXB,SELLING READY STOCK; Samsung A175 4/128GB,ready stock
Today 12:28 AM,Mohit- Teleflex DXB,Samsung A176 5G 4/128GB,,Mohit- Teleflex DXB,SELLING READY STOCK; Samsung A176 5G 4/128GB,ready stock
Today 12:28 AM,Mohit- Teleflex DXB,OnePlus Nord CE5 5G 8/256GB,,Mohit- Teleflex DXB,SELLING READY STOCK; OnePlus Nord CE5 5G 8/256GB,ready stock
Today 12:28 AM,Mohit- Teleflex DXB,Redmi A5 3/64GB,,Mohit- Teleflex DXB,SELLING READY STOCK; Redmi A5 3/64GB,ready stock
Today 12:28 AM,Mohit- Teleflex DXB,Redmi A7 Pro 4/64GB,,Mohit- Teleflex DXB,SELLING READY STOCK; Redmi A7 Pro 4/64GB,ready stock
Today 12:28 AM,Mohit- Teleflex DXB,Redmi A7 Pro 4/128GB,,Mohit- Teleflex DXB,SELLING READY STOCK; Redmi A7 Pro 4/128GB,ready stock
Today 12:28 AM,Mohit- Teleflex DXB,Redmi 15C 8/256GB,,Mohit- Teleflex DXB,SELLING READY STOCK; Redmi 15C 8/256GB,ready stock
Today 12:28 AM,Mohit- Teleflex DXB,ZTE Blade A35E 2/64GB,,Mohit- Teleflex DXB,SELLING READY STOCK; ZTE Blade A35E 2/64GB,ready stock
Today 12:28 AM,Mohit- Teleflex DXB,ZTE Blade A36 2/64GB,,Mohit- Teleflex DXB,SELLING READY STOCK; ZTE Blade A36 2/64GB,ready stock
Today 12:28 AM,Mohit- Teleflex DXB,ZTE Blade A36 4/64GB,,Mohit- Teleflex DXB,SELLING READY STOCK; ZTE Blade A36 4/64GB,ready stock
Today 12:28 AM,Mohit- Teleflex DXB,ZTE Blade A56 4/128GB,,Mohit- Teleflex DXB,SELLING READY STOCK; ZTE Blade A56 4/128GB,ready stock
Today 12:28 AM,Mohit- Teleflex DXB,ZTE Blade A75 5G 4/128GB,,Mohit- Teleflex DXB,SELLING READY STOCK; ZTE Blade A75 5G 4/128GB,ready stock
Today 12:28 AM,Mohit- Teleflex DXB,ZTE Blade A76 4/128GB,,Mohit- Teleflex DXB,SELLING READY STOCK; ZTE Blade A76 4/128GB,ready stock
Today 12:28 AM,Mohit- Teleflex DXB,ZTE Blade A76 5G 4/128GB,,Mohit- Teleflex DXB,SELLING READY STOCK; ZTE Blade A76 5G 4/128GB,ready stock
Today 12:28 AM,Mohit- Teleflex DXB,Honor X6D 5G 4/128GB,,Mohit- Teleflex DXB,SELLING READY STOCK; Honor X6D 5G 4/128GB,ready stock
Today 12:28 AM,Mohit- Teleflex DXB,Honor X6C 6/128GB,,Mohit- Teleflex DXB,SELLING READY STOCK; Honor X6C 6/128GB,ready stock
Today 12:28 AM,Mohit- Teleflex DXB,Nubia Neo 5 5G 8/256GB,,Mohit- Teleflex DXB,SELLING READY STOCK; Nubia Neo 5 5G 8/256GB,ready stock
